counter,VIPmin,VIPmax,VIPavg,VIPamount,VIPnumListings,daysSinceOnSale,hoursSinceOnSale,daysTillFest,hoursTillFest,totalAverage,totalListings
242,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,160.1356230787037,3843,34.82271025462963,836,SOLD OUT,SOLD OUT
243,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,160.17728590277778,3844,34.78104743055555,835,SOLD OUT,SOLD OUT
244,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,160.2189552314815,3845,34.739378101851855,834,SOLD OUT,SOLD OUT
245,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,160.26068350694445,3846,34.69764982638889,833,SOLD OUT,SOLD OUT
246,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,160.3022902314815,3847,34.65604310185185,832,SOLD OUT,SOLD OUT
247,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,160.34395798611112,3848,34.61437534722222,831,SOLD OUT,SOLD OUT
248,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,160.38561864583335,3849,34.5727146875,830,SOLD OUT,SOLD OUT
249,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,160.42729596064814,3850,34.531037372685184,829,SOLD OUT,SOLD OUT
250,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,160.4690919097222,3851,34.48924142361111,828,SOLD OUT,SOLD OUT
251,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,160.48679136574074,3852,34.47154196759259,827,SOLD OUT,SOLD OUT
252,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,160.51063092592594,3852,34.447702407407405,827,SOLD OUT,SOLD OUT
253,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,160.55235310185185,3853,34.40598023148148,826,SOLD OUT,SOLD OUT
254,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,160.59396711805556,3854,34.36436621527778,825,SOLD OUT,SOLD OUT
255,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,160.63565194444445,3855,34.32268138888889,824,SOLD OUT,SOLD OUT
256,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,160.67729194444445,3856,34.28104138888889,823,SOLD OUT,SOLD OUT
257,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,160.7189597800926,3857,34.23937355324074,822,SOLD OUT,SOLD OUT
258,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,160.7606290162037,3858,34.19770431712963,821,SOLD OUT,SOLD OUT
259,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,160.80229918981482,3859,34.15603414351852,820,SOLD OUT,SOLD OUT
260,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,160.84396240740742,3860,34.114370925925925,819,SOLD OUT,SOLD OUT
261,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,160.88572127314814,3861,34.072612060185186,818,SOLD OUT,SOLD OUT
262,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,160.92730679398147,3862,34.03102653935185,817,SOLD OUT,SOLD OUT
263,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,160.96896491898147,3863,33.98936841435185,816,SOLD OUT,SOLD OUT
264,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,161.0106349074074,3864,33.94769842592593,815,SOLD OUT,SOLD OUT
265,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,161.05230010416668,3865,33.90603322916667,814,SOLD OUT,SOLD OUT
266,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,161.09396444444445,3866,33.86436888888889,813,SOLD OUT,SOLD OUT
267,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,161.13563087962962,3867,33.822702453703705,812,SOLD OUT,SOLD OUT
268,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,161.1773015162037,3868,33.78103181712963,811,SOLD OUT,SOLD OUT
269,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,161.21898041666665,3869,33.73935291666667,810,SOLD OUT,SOLD OUT
270,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,161.26064325231482,3870,33.69769008101852,809,SOLD OUT,SOLD OUT
271,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,161.30230542824074,3871,33.65602790509259,808,SOLD OUT,SOLD OUT
